file,Roi group,Roi tags,Roi name,16O mean,16O stddev,16O median,12C21H mean,12C21H stddev,12C21H median,12C15N mean,12C15N stddev,12C15N median,31P mean,31P stddev,31P median,32S mean,32S stddev,32S median,31P/32S mean,31P/32S stddev,31P/32S median
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,92,1303.4045112781955,181.30682817663856,1334.0,4562.407518796993,326.6048895210315,4563.0,65.9203007518797,22.87988462364572,73.0,24.709774436090225,13.675179040377998,25.0,158.98345864661655,61.19045935710077,172.0,1617.2592358582,1087.044318613812,1470.5882568359375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,93,1361.6124093473006,154.4484843880149,1352.0,4455.041095890411,379.2815607725003,4437.0,74.23287671232876,14.342236818564526,75.0,18.255439161966155,9.381864187547917,17.0,174.35777598710717,33.84501139518349,179.0,1122.1533047586174,803.1625896580222,975.6097412109375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,fibrosis,94,1471.8874643874644,146.55699601474282,1478.0,4341.840455840455,436.77620728600493,4264.0,113.08262108262109,15.709434001832424,113.0,27.33903133903134,13.02249291580688,25.0,237.24358974358975,38.758503666888565,235.0,1269.9337310573653,876.0386753491906,1052.631591796875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,fibrosis,95,1371.1303030303031,105.49776927545123,1374.0,4450.881818181818,297.4235790630972,4433.0,95.64848484848486,10.997267447614403,96.0,26.05151515151515,11.361980573850671,25.0,225.14545454545456,28.491187683714184,223.0,1259.038333314838,873.1457709652367,1056.618896484375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,96,714.6335777894185,67.3643765542103,716.0,3632.9360921948664,367.1205505900942,3662.0,7.544264012572027,2.851812038884831,7.0,0.05919329491880566,0.2404161505084355,0.0,9.43530644316396,3.223591673556983,9.0,58.101973536128206,602.6907109877706,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,97,1350.22131147541,117.82296997350586,1341.0,4496.968384074941,283.27631022102514,4479.0,79.42388758782201,12.823838106838245,80.0,22.298594847775174,7.640582270813268,22.0,206.86182669789227,32.516596818248146,209.0,1168.5349964794007,671.0109987299437,1063.829833984375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,98,1174.3468085106383,101.34923966160069,1171.0,4010.1978723404254,311.8515809231181,4007.0,65.72765957446809,10.863873782981958,66.0,23.45531914893617,7.639053751743117,23.0,122.9872340425532,20.85394040190627,124.0,2014.8704757365774,1193.14786708131,1818.181884765625
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,99,1411.1169036334913,136.77390188178066,1404.0,4743.08214849921,336.26042341445765,4752.0,73.46287519747236,10.399715305190808,74.0,26.549763033175356,12.3945349880639,25.0,171.07898894154818,24.298970212881926,170.0,1668.9888010612597,1119.2721901968848,1458.333251953125
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,fibrosis,100,1418.4,141.32783946892852,1403.0,4451.840425531915,377.23524875582575,4442.0,78.32765957446809,11.715127940219789,79.0,33.236170212765956,13.09753350910539,32.0,215.11063829787233,35.32970647353894,216.0,1740.2746672934675,1083.1333299065575,1481.4814453125
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,101,1394.1818181818182,135.187279402183,1415.0,4575.44055944056,252.53901169493363,4607.0,64.18881118881119,17.17472391436095,68.0,20.426573426573427,9.333786507643872,21.0,155.7902097902098,41.82859948005336,162.0,1380.6878563940943,858.36813196359,1333.3333740234375
