file,Roi group,Roi tags,Roi name,12C14N mean,12C14N stddev,12C14N median,area,12C22H mean,12C22H stddev,12C22H median,12C15N/12C14N mean,12C15N/12C14N stddev,12C15N/12C14N median,12C22H/12C21H mean,12C22H/12C21H stddev,12C22H/12C21H median
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,103,3093.7299578059074,249.2320979180357,3078.0,237.0,1.3966244725738397,1.229436448647494,1.0,60.405425663235825,13.978050316057532,59.77496337890625,3.9275827920889554,3.4772574765617525,2.925687551498413
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,104,2860.6636636636636,510.33154333972044,3001.0,333.0,1.4054054054054055,1.148952207671347,1.0,60.97237833555754,14.551425816519407,60.1646614074707,3.884222384329673,3.189519952589319,2.920560598373413
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,105,2714.216,390.8679269128597,2786.0,250.0,1.82,1.4711414031670953,2.0,74.38205332946778,16.537170835519884,74.43128967285156,5.447523812294007,4.601808260869483,5.492247581481934
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,106,2920.78,195.43815472735184,2896.5,100.0,1.55,1.2742595393943001,1.0,75.68071006774902,15.109199092469483,73.09245300292969,5.034501779079437,4.132722255630029,3.5683517456054688
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,107,2809.6320109439125,437.7652119994341,2885.0,731.0,0.9671682626538988,0.9617421679828189,1.0,54.54053944275904,14.577644131556742,53.33333206176758,2.918326769253461,2.896239383583398,2.9568300247192383
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,108,3340.5211062590975,210.5021119398471,3339.0,687.0,1.215429403202329,1.131394330757687,1.0,54.07858700592619,13.430289536990548,52.9976806640625,3.4837938805681476,3.2637578851829265,2.9036004543304443
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,109,2979.652811735941,228.96666156024844,2986.0,409.0,1.0513447432762837,0.9418402933691682,1.0,50.21084999047165,13.772864544140896,48.8505744934082,3.081754711845976,2.7691186984605554,2.910360813140869
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,110,2973.692750287687,329.2898009358573,2988.0,869.0,0.997698504027618,0.9648161861467472,1.0,50.891231593932055,14.114364392866115,49.50495147705078,2.954134586079623,2.842820695326064,2.9308323860168457
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,111,2361.4032882011606,311.5723712486062,2404.0,1034.0,0.9555125725338491,0.9700019352764384,1.0,54.89982533869937,15.854311635680927,53.86341857910156,3.245437092430587,3.310755958652478,3.306332588195801
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,112,2788.0333333333333,318.74304605421,2799.0,1020.0,1.1107843137254902,1.0486129782545632,1.0,62.33959743649352,15.633898521069154,61.437381744384766,3.130673696013058,2.962727257440253,2.8121485710144043
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,113,3198.1775147928993,297.85343822765725,3185.0,676.0,1.2810650887573964,1.1343770573974818,1.0,69.7680979903633,16.941660667413878,68.97868347167969,3.544588142245479,3.119182877489453,2.8312571048736572
